Serial Number,Roll_Num,Uni_ID,Student Name, AML3201, CSL2301, CSL3307, CSL4207, CSL4208, CSL4305, CSL4318, CSL4336, CSL5210, CSP2301, ECL3311, GEW1601, GEW1603, GEW1604, GEW1605, GEW1607, GEW1608, GEW1609, GEW1610, GEW1611, GEW1613, AMP1201, CSP1307, CSP2210, ECP1311,Total
 153,10123563,20012153,AAA AAA153, 86.36, 83.33, , 82.76, 78.69, , , , 100, 87.1, , , , , , 100, , , , , , 93.33, , 83.61, , 85.87
 154,10123564,20012154,AAA AAA154, , 64.1, , 86.96, 85.96, , 93.33, 81.4, 0, 76.47, , , , , , , , , , , , , , 0, , 77.8
 155,10123565,20012155,AAA AAA155, , 71.79, , 84.06, 87.72, , 90, 81.4, 33.33, 82.35, , , , , , , , , , , , , , 0, , 78.84
 156,10123566,20012156,AAA AAA156, 79.55, 90, , 84.48, 80.33, , , , 93.33, 87.1, , , , , , , , , 100, , , 86.67, , 81.97, , 84.77
 157,10123567,20012157,AAA AAA157, 40.91, 65.52, , 55.17, 31.15, , , , 53.33, 61.29, , , 0, , , , , , , , , 40, , 24.59, , 40.71
 158,10123568,20012158,AAA AAA158, 86.36, 83.33, , 89.66, 81.97, , , , 93.33, 83.87, , , , , , , , 100, , , , 80, , 85.25, , 85.87
 159,10123569,20012159,AAA AAA159, 59.09, 70, , 77.59, 65.57, , , , 80, 70.97, , , 100, , , , , , , , , 80, , 75.41, , 73.29
 160,10123570,20012160,AAA AAA160, 84.09, 83.33, , 86.21, 81.97, , , , 93.33, 88.71, , , , , , , , , 100, , , 100, , 90.16, , 88.52
 161,10123571,20012161,AAA AAA161, 84.09, 86.67, , 86.21, 80.33, , , , 100, 83.87, , , , , , , , 100, , , , 80, , 81.97, , 84.77
 162,10123572,20012162,AAA AAA162, 63.64, 63.33, , 58.62, 62.3, , , , 73.33, 72.58, , , , , , , , 87.5, , , , 60, , 59.02, , 64.02
 163,10123573,20012163,AAA AAA163, 77.27, 76.67, , 77.59, 81.97, , , , 86.67, 85.48, , , , , , , , 100, , , , 86.67, , 81.97, , 82.34
